"name","CAAN","EUI"
"AcademicSurge","4632",140301
"AMRL","4853",9143
"ATIRC","4879",23305
"AggieStadium","",35647
"Agronomy.FL","4192",11973
"ARS.J1","3840",20352
"Aquatic.Biology","3813",16597
"ARCPavilion","4444",48729
"ArtAnnex","3400",12373
"Asmundson.Annex","3999",25306
"CampusDataCenter","4471",22255
"CHE.Cellular.Biology","4452",21649
"CCAH","4805",133028
"CHE.Clinical.Medicine","4085",15260
"CHE.Office/Lab","3792",51714
"CHE.Toxic.Pollutant.Health","4477",36694
"Chemistry","3961",233189
"Cole.A","4219",21700
"ConferenceCenter","4889",32263
"Dairy.Cattle.Feed","3759",18975
"Dairy.Cattle.Shed","3760",2021
"Dairy.Tower","",7341
"Equestrian.Caretaker","4890",695
"Equestrian.Arena","4865",882
"Freeborn","3773",24645
"GSM","4872",55328
"Geotech.MF","4813",4851
"HeitmanSLC","3341",1587
"249","TRUE",10834
"Hoagland","3607",23487
"249","TRUE",15025
"HSUP","4851",15025
"HousingAdmin","4474",12239
"249","TRUE",4733
"CRIET","4910",14464
"Jungerman","3814",61055
"Kemper","4633",17830617
"Kerr","4302",61988
"Leukemia.Barn","4075",9832
"Leukemia.Lab","4078",1114
"EqACL","4716",121541
"Mann.Lab","3841",42812
"Music.Building","3970",7103
"PavilionParking","4827",35789
"PSELibrary","4243",13849
"PrimateCHD","4874",9196
"Primate_RDC","0",66717
"PrimateVIL","4888",23534
"QuadParking","4645",8979
"249","TRUE",948
"249","TRUE",32534
"SoE","4442",14100
"249","TRUE",108262
"Sproul","3815",25035
"PrimateTSRF","4880",9760
"VM.LAF","3490B",877
"VM2","4466",77831
"VMTHSurgical","4268",14270
"VMTHWard","4269",22571
"Voorhies","3745",35993
"WSEH","3778",18460
"Wright","3972",48094
