"builddf.BuildingName","builddf.BuildingName..in..metadf2.Display.Name"
"Academic Surge Building",TRUE
"Activities and Recreation Center",TRUE
"Advanced Materials Research Laboratory",TRUE
"Advanced Transportation Infrastructure Research Center",TRUE
"Aggie Stadium",FALSE
"Agronomy Field Laboratory",TRUE
"Animal Building",TRUE
"Animal Resource Service J1",TRUE
"Ann E. Pitzer Center",FALSE
"Aquatic Biology & Environmental Science Bldg",TRUE
"ARC Pavilion",TRUE
"Art Building",TRUE
"Art Building Annex",TRUE
"Asmundson Annex",TRUE
"Bainer Hall",TRUE
"Bowley Head House",TRUE
"Briggs Hall",TRUE
"Campus Data Center",TRUE
"Cellular Biology Laboratory",TRUE
"Center for Companion Animal Health",TRUE
"Center for Comparative Medicine",TRUE
"Center for Health & Environment Clinical Medicine",TRUE
"Center for Health & Environment Office & Laboratory",TRUE
"Center for Health & Environment Toxic Pollutant Laboratory",TRUE
"Chemistry",TRUE
"Chemistry Annex",TRUE
"Cole A",TRUE
"Cole B",TRUE
"Conference Center",TRUE
"Cruess Hall",TRUE
"Cuarto",FALSE
"Dairy Cattle Feed",TRUE
"Dairy Cattle Shed",TRUE
"Dairy Tower",FALSE
"Dutton Hall",TRUE
"Earth and Physical Sciences Building",TRUE
"Equestrian Center Caretaker Trailer",TRUE
"Equestrian Center Covered Arena",TRUE
"FPS Trinchero Building",TRUE
"Freeborn Hall",TRUE
"Gallagher Hall",TRUE
"Genome & Biomedical Sciences Facility",TRUE
"Geotechnical Modeling Facility",TRUE
"Ghausi Hall",TRUE
"Giedt Hall",TRUE
"Haring Hall",TRUE
"Hart Hall",TRUE
"Heitman Staff Learning Center",TRUE
"Hickey Gym",TRUE
"Hickey Pool",FALSE
"Hoagland Hall",TRUE
"Hopkins Services Center Parking Lot",FALSE
"Hopkins Services Complex",FALSE
"Housing Administration",TRUE
"Hunt Hall",TRUE
"Hutchison Child Development Center",TRUE
"Hutchison Hall",TRUE
"IET Communications Resources",TRUE
"International Center",FALSE
"Jungerman Hall",TRUE
"Kemper Hall",TRUE
"Kerr Hall",TRUE
"King Hall",TRUE
"Leukemia Barn",TRUE
"Leukemia Lab",TRUE
"Life Sciences",TRUE
"Maddy Lab",TRUE
"Mann Laboratory",TRUE
"Mathematical Sciences Building",TRUE
"Medical Sciences I D",TRUE
"Memorial Union",TRUE
"Meyer Hall",TRUE
"Mrak Hall",TRUE
"Music Building",TRUE
"Office of Research (1850 Research Park Drive)",FALSE
"Olson Hall",TRUE
"Parsons Seed Certification Center",TRUE
"Pavilion Parking Structure",TRUE
"Physical Sciences & Engineering Library",TRUE
"Physics Building",TRUE
"Plant & Environmental Sciences",TRUE
"Primate Childhood Health & Disease Facility",TRUE
"Primate Respiratory Disease Center",TRUE
"Primate Virology & Immunology Laboratory",TRUE
"Pritchard VMTH",TRUE
"Quad Parking Structure",TRUE
"Residence Halls",FALSE
"Rifle Range",FALSE
"RMI Brewery, Winery, and Food Pilot Facility",TRUE
"RMI North, South, Sensory",FALSE
"Robbins Hall",TRUE
"Roessler Hall",TRUE
"Schaal Aquatic Center",TRUE
"School of Education Building",TRUE
"Sciences Lab Building",TRUE
"Segundo Dining Commons",TRUE
"Segundo High Rises",FALSE
"Segundo North",FALSE
"Segundo Regan",FALSE
"Segundo Services Center",TRUE
"Shields Library",TRUE
"Shrem Museum of Art",FALSE
"Social Sciences & Humanities",TRUE
"Sproul Hall",TRUE
"Storer Hall",TRUE
"Student Community Center",TRUE
"Student Health & Wellness Center",TRUE
"Tercero 1",FALSE
"Tercero 2",FALSE
"Tercero 3",FALSE
"Tercero Dining Commons",FALSE
"Thurman Laboratory",TRUE
"Translational Shared Research Facility",TRUE
"Transportation and Parking Services",TRUE
"Tupper Hall",TRUE
"University Services Building",FALSE
"Valley Hall",TRUE
"Vet Med 3A",TRUE
"Vet Med 3B",TRUE
"Vet Med Equine Athletic Performance Lab",TRUE
"Vet Med Large Animal Facility",TRUE
"Veterinary Medicine 2",TRUE
"VMTH Surgical",TRUE
"VMTH Ward",TRUE
"Voorhies Hall",TRUE
"Walker Hall",TRUE
"Water Science & Engineering Hydraulic L2",TRUE
"Watershed Science Facility",TRUE
"Wellman Hall",TRUE
"Western Human Nutrition Research Center (WHNRC)",TRUE
"Wickson Hall",TRUE
"Wright Hall",TRUE
"Young Hall",TRUE
